Component Pins:
Owner   Type  Dir                 Value  Name
    25  bit   IN                  FALSE  axis.c.jog-enable
    25  float IN                      0  axis.c.jog-scale
    25  bit   IN                  FALSE  axis.c.jog-vel-mode
    25  bit   OUT                 FALSE  axis.c.kb-jog-active
    25  float OUT                     0  axis.c.pos-cmd
    25  float OUT                     0  axis.c.teleop-pos-cmd
    25  bit   OUT                 FALSE  axis.c.teleop-tp-enable
    25  float OUT                     0  axis.c.teleop-vel-cmd
    25  float OUT                     0  axis.c.teleop-vel-lim
    25  bit   OUT                 FALSE  axis.c.wheel-jog-active
    25  float OUT                     0  axis.u.eoffset
    25  bit   IN                  FALSE  axis.u.eoffset-clear
    25  s32   IN                      0  axis.u.eoffset-counts
    25  bit   IN                  FALSE  axis.u.eoffset-enable
    25  float OUT                     0  axis.u.eoffset-request
    25  float IN                      0  axis.u.eoffset-scale
    25  float IN                      1  axis.u.jog-accel-fraction
    25  s32   IN                      0  axis.u.jog-counts
    25  bit   IN                  FALSE  axis.u.jog-enable
    25  float IN                      0  axis.u.jog-scale
    25  bit   IN                  FALSE  axis.u.jog-vel-mode
    25  bit   OUT                 FALSE  axis.u.kb-jog-active
    25  float OUT                     0  axis.u.pos-cmd
    25  float OUT                     0  axis.u.teleop-pos-cmd
    25  bit   OUT                 FALSE  axis.u.teleop-tp-enable
    25  float OUT                     0  axis.u.teleop-vel-cmd
    25  float OUT                     0  axis.u.teleop-vel-lim
    25  bit   OUT                 FALSE  axis.u.wheel-jog-active
    25  float OUT                     0  axis.v.eoffset
    25  bit   IN                  FALSE  axis.v.eoffset-clear
    25  s32   IN                      0  axis.v.eoffset-counts
    25  bit   IN                  FALSE  axis.v.eoffset-enable
    25  float OUT                     0  axis.v.eoffset-request
    25  float IN                      0  axis.v.eoffset-scale
    25  float IN                      1  axis.v.jog-accel-fraction
    25  s32   IN                      0  axis.v.jog-counts
    25  bit   IN                  FALSE  axis.v.jog-enable
    25  float IN                      0  axis.v.jog-scale
    25  bit   IN                  FALSE  axis.v.jog-vel-mode
    25  bit   OUT                 FALSE  axis.v.kb-jog-active
    25  float OUT                     0  axis.v.pos-cmd
    25  float OUT                     0  axis.v.teleop-pos-cmd
    25  bit   OUT                 FALSE  axis.v.teleop-tp-enable
    25  float OUT                     0  axis.v.teleop-vel-cmd
    25  float OUT                     0  axis.v.teleop-vel-lim
    25  bit   OUT                 FALSE  axis.v.wheel-jog-active
    25  float OUT                     0  axis.w.eoffset
    25  bit   IN                  FALSE  axis.w.eoffset-clear
    25  s32   IN                      0  axis.w.eoffset-counts
    25  bit   IN                  FALSE  axis.w.eoffset-enable
    25  float OUT                     0  axis.w.eoffset-request
    25  float IN                      0  axis.w.eoffset-scale
    25  float IN                      1  axis.w.jog-accel-fraction
    25  s32   IN                      0  axis.w.jog-counts
    25  bit   IN                  FALSE  axis.w.jog-enable
    25  float IN                      0  axis.w.jog-scale
    25  bit   IN                  FALSE  axis.w.jog-vel-mode
    25  bit   OUT                 FALSE  axis.w.kb-jog-active
    25  float OUT                     0  axis.w.pos-cmd
    25  float OUT                     0  axis.w.teleop-pos-cmd
    25  bit   OUT                 FALSE  axis.w.teleop-tp-enable
    25  float OUT                     0  axis.w.teleop-vel-cmd
    25  float OUT                     0  axis.w.teleop-vel-lim
    25  bit   OUT                 FALSE  axis.w.wheel-jog-active
    25  float OUT                     0  axis.x.eoffset
    25  bit   IN                  FALSE  axis.x.eoffset-clear
    25  s32   IN                      0  axis.x.eoffset-counts
    25  bit   IN                  FALSE  axis.x.eoffset-enable
    25  float OUT                     0  axis.x.eoffset-request
    25  float IN                      0  axis.x.eoffset-scale
    25  float IN                      1  axis.x.jog-accel-fraction
    25  s32   IN                      0  axis.x.jog-counts
    25  bit   IN                  FALSE  axis.x.jog-enable
    25  float IN                      0  axis.x.jog-scale
    25  bit   IN                  FALSE  axis.x.jog-vel-mode
    25  bit   OUT                 FALSE  axis.x.kb-jog-active
    25  float OUT                     0  axis.x.pos-cmd
    25  float OUT                     0  axis.x.teleop-pos-cmd
    25  bit   OUT                 FALSE  axis.x.teleop-tp-enable
    25  float OUT                     0  axis.x.teleop-vel-cmd
    25  float OUT                     0  axis.x.teleop-vel-lim
    25  bit   OUT                 FALSE  axis.x.wheel-jog-active
    25  float OUT                     0  axis.y.eoffset
    25  bit   IN                  FALSE  axis.y.eoffset-clear
    25  s32   IN                      0  axis.y.eoffset-counts
    25  bit   IN                  FALSE  axis.y.eoffset-enable
    25  float OUT                     0  axis.y.eoffset-request
    25  float IN                      0  axis.y.eoffset-scale
    25  float IN                      1  axis.y.jog-accel-fraction
    25  s32   IN                      0  axis.y.jog-counts
    25  bit   IN                  FALSE  axis.y.jog-enable
    25  float IN                      0  axis.y.jog-scale
    25  bit   IN                  FALSE  axis.y.jog-vel-mode
    25  bit   OUT                 FALSE  axis.y.kb-jog-active
    25  float OUT                     0  axis.y.pos-cmd
    25  float OUT                     0  axis.y.teleop-pos-cmd
    25  bit   OUT                 FALSE  axis.y.teleop-tp-enable
    25  float OUT                     0  axis.y.teleop-vel-cmd
    25  float OUT                     0  axis.y.teleop-vel-lim
    25  bit   OUT                 FALSE  axis.y.wheel-jog-active
    25  float OUT                     0  axis.z.eoffset
    25  bit   IN                  FALSE  axis.z.eoffset-clear
    25  s32   IN                      0  axis.z.eoffset-counts
    25  bit   IN                  FALSE  axis.z.eoffset-enable
    25  float OUT                     0  axis.z.eoffset-request
    25  float IN                      0  axis.z.eoffset-scale
    25  float IN                      1  axis.z.jog-accel-fraction
    25  s32   IN                      0  axis.z.jog-counts
    25  bit   IN                  FALSE  axis.z.jog-enable
    25  float IN                      0  axis.z.jog-scale
    25  bit   IN                  FALSE  axis.z.jog-vel-mode
    25  bit   OUT                 FALSE  axis.z.kb-jog-active
    25  float OUT                     0  axis.z.pos-cmd
    25  float OUT                     0  axis.z.teleop-pos-cmd
    25  bit   OUT                 FALSE  axis.z.teleop-tp-enable
    25  float OUT                     0  axis.z.teleop-vel-cmd
    25  float OUT                     0  axis.z.teleop-vel-lim
    25  bit   OUT                 FALSE  axis.z.wheel-jog-active
    61  bit   OUT                 FALSE  axisui.abort
    61  bit   OUT                 FALSE  axisui.error
    61  bit   OUT                 FALSE  axisui.jog.a
    61  bit   OUT                 FALSE  axisui.jog.b
    61  bit   OUT                 FALSE  axisui.jog.c
    61  float OUT                     0  axisui.jog.increment
    61  bit   OUT                 FALSE  axisui.jog.u
    61  bit   OUT                 FALSE  axisui.jog.v
    61  bit   OUT                 FALSE  axisui.jog.w
    61  bit   OUT                  TRUE  axisui.jog.x
    61  bit   OUT                 FALSE  axisui.jog.y
    61  bit   OUT                 FALSE  axisui.jog.z
    61  bit   IN                  FALSE  axisui.notifications-clear
    61  bit   IN                  FALSE  axisui.notifications-clear-error
    61  bit   IN                  FALSE  axisui.notifications-clear-info
    61  bit   IN                  FALSE  axisui.resume-inhibit
    39  bit   IN                  FALSE  hal_manualtoolchange.change <== tool-change-request
    39  bit   IN                  FALSE  hal_manualtoolchange.change_button
    39  bit   OUT                 FALSE  hal_manualtoolchange.changed ==> tool-change-confirmed
    39  s32   IN                      0  hal_manualtoolchange.number <== tool-number
    32  float IN                    100  hm2_7c80.0.dpll.01.timer-us
    32  float IN                    100  hm2_7c80.0.dpll.02.timer-us
    32  float IN                    100  hm2_7c80.0.dpll.03.timer-us
    32  float IN                    100  hm2_7c80.0.dpll.04.timer-us
    32  float IN                      1  hm2_7c80.0.dpll.base-freq-khz
    32  u32   OUT            0x0000002A  hm2_7c80.0.dpll.ddsize
    32  float OUT             0.1604964  hm2_7c80.0.dpll.phase-error-us
    32  u32   IN             0x00400000  hm2_7c80.0.dpll.plimit
    32  u32   OUT            0x00000018  hm2_7c80.0.dpll.prescale
    32  u32   IN             0x000007D0  hm2_7c80.0.dpll.time-const
    32  s32   OUT                     0  hm2_7c80.0.encoder.00.count
    32  s32   OUT                     0  hm2_7c80.0.encoder.00.count-latched
    32  bit   I/O                 FALSE  hm2_7c80.0.encoder.00.index-enable
    32  bit   OUT                  TRUE  hm2_7c80.0.encoder.00.input-a
    32  bit   OUT                  TRUE  hm2_7c80.0.encoder.00.input-b
    32  bit   OUT                 FALSE  hm2_7c80.0.encoder.00.input-index
    32  float OUT                     0  hm2_7c80.0.encoder.00.position
    32  float OUT                     0  hm2_7c80.0.encoder.00.position-interpolated
    32  float OUT                     0  hm2_7c80.0.encoder.00.position-latched
    32  bit   OUT                 FALSE  hm2_7c80.0.encoder.00.quad-error
    32  bit   IN                  FALSE  hm2_7c80.0.encoder.00.quad-error-enable
    32  s32   OUT                     0  hm2_7c80.0.encoder.00.rawcounts
    32  s32   OUT                     0  hm2_7c80.0.encoder.00.rawlatch
    32  bit   IN                  FALSE  hm2_7c80.0.encoder.00.reset
    32  float OUT                     0  hm2_7c80.0.encoder.00.velocity
    32  float OUT                     0  hm2_7c80.0.encoder.00.velocity-rpm
    32  bit   IN                  FALSE  hm2_7c80.0.encoder.hires-timestamp
    32  u32   IN             0x017D7840  hm2_7c80.0.encoder.sample-frequency
    32  s32   IN                     -1  hm2_7c80.0.encoder.timer-number
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.000.in
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.000.in_not
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.001.in
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.001.in_not
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.002.in
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.002.in_not
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.003.in
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.003.in_not
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.004.in
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.004.in_not
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.005.in
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.005.in_not
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.006.in
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.006.in_not
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.007.in
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.007.in_not
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.008.in
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.008.in_not
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.009.in
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.009.in_not
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.010.in
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.010.in_not
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.011.in
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.011.in_not
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.012.in
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.012.in_not
    32  bit   IN                  FALSE  hm2_7c80.0.gpio.012.out
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.013.in
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.013.in_not
    32  bit   IN                  FALSE  hm2_7c80.0.gpio.013.out
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.014.in
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.014.in_not
    32  bit   IN                  FALSE  hm2_7c80.0.gpio.014.out
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.015.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.015.in_not
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.016.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.016.in_not
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.017.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.017.in_not
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.018.in
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.018.in_not
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.019.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.019.in_not
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.020.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.020.in_not
    32  bit   IN                  FALSE  hm2_7c80.0.gpio.020.out
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.021.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.021.in_not
    32  bit   IN                  FALSE  hm2_7c80.0.gpio.021.out
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.022.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.022.in_not
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.023.in
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.023.in_not
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.024.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.024.in_not
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.025.in
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.025.in_not
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.026.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.026.in_not
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.027.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.027.in_not
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.028.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.028.in_not
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.029.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.029.in_not
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.030.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.030.in_not
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.031.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.031.in_not
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.032.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.032.in_not
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.033.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.033.in_not
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.034.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.034.in_not
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.035.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.035.in_not
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.036.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.036.in_not
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.037.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.037.in_not
    32  bit   IN                  FALSE  hm2_7c80.0.gpio.037.out
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.038.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.038.in_not
    32  bit   IN                  FALSE  hm2_7c80.0.gpio.038.out
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.039.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.039.in_not
    32  bit   IN                  FALSE  hm2_7c80.0.gpio.039.out
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.040.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.040.in_not
    32  bit   IN                  FALSE  hm2_7c80.0.gpio.040.out
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.041.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.041.in_not
    32  bit   IN                  FALSE  hm2_7c80.0.gpio.041.out
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.042.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.042.in_not
    32  bit   IN                  FALSE  hm2_7c80.0.gpio.042.out
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.043.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.043.in_not
    32  bit   IN                  FALSE  hm2_7c80.0.gpio.043.out
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.044.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.044.in_not
    32  bit   IN                  FALSE  hm2_7c80.0.gpio.044.out
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.045.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.045.in_not
    32  bit   IN                  FALSE  hm2_7c80.0.gpio.045.out
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.046.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.046.in_not
    32  bit   IN                  FALSE  hm2_7c80.0.gpio.046.out
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.047.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.047.in_not
    32  bit   IN                  FALSE  hm2_7c80.0.gpio.047.out
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.048.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.048.in_not
    32  bit   IN                  FALSE  hm2_7c80.0.gpio.048.out
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.049.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.049.in_not
    32  bit   IN                  FALSE  hm2_7c80.0.gpio.049.out
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.050.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.050.in_not
    32  bit   IN                  FALSE  hm2_7c80.0.gpio.050.out
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.051.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.051.in_not
    32  bit   IN                  FALSE  hm2_7c80.0.gpio.051.out
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.052.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.052.in_not
    32  bit   IN                  FALSE  hm2_7c80.0.gpio.052.out
    32  bit   OUT                  TRUE  hm2_7c80.0.gpio.053.in
    32  bit   OUT                 FALSE  hm2_7c80.0.gpio.053.in_not
    32  bit   IN                  FALSE  hm2_7c80.0.gpio.053.out
    32  s32   OUT                     0  hm2_7c80.0.inmux.00.enc0-count
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.enc0-reset
    32  s32   OUT                     0  hm2_7c80.0.inmux.00.enc1-count
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.enc1-reset
    32  s32   OUT                     0  hm2_7c80.0.inmux.00.enc2-count
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.enc2-reset
    32  s32   OUT                     0  hm2_7c80.0.inmux.00.enc3-count
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.enc3-reset
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-00
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-00-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-00-slow
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-01
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-01-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-01-slow
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-02
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-02-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-02-slow
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-03
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-03-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-03-slow
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-04
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-04-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-04-slow
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-05
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-05-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-05-slow
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-06
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-06-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-06-slow
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-07
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-07-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-07-slow
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-08
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-08-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-08-slow
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-09
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-09-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-09-slow
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-10
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-10-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-10-slow
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-11
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-11-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-11-slow
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-12
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-12-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-12-slow
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-13
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-13-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-13-slow
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-14
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-14-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-14-slow
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-15
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-15-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-15-slow
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-16
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-16-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-16-slow
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-17
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-17-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-17-slow
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-18
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-18-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-18-slow
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-19
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-19-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-19-slow
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-20
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-20-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-20-slow
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-21
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-21-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-21-slow
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-22
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-22-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-22-slow
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.input-23
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.input-23-not
    32  bit   IN                  FALSE  hm2_7c80.0.inmux.00.input-23-slow
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.raw-input-00
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.raw-input-00-not
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.raw-input-01
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.raw-input-01-not
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.raw-input-02
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.raw-input-02-not
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.raw-input-03
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.raw-input-03-not
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.raw-input-04
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.raw-input-04-not
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.raw-input-05
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.raw-input-05-not
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.raw-input-06
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.raw-input-06-not
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.raw-input-07
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.raw-input-07-not
    32  bit   OUT                 FALSE  hm2_7c80.0.inmux.00.raw-input-08
    32  bit   OUT                  TRUE  hm2_7c80.0.inmux.00.raw-input-08-not
